dataset	epochs	epsilon_target	epsilon_achieved	batch_size	lr	final_accuracy	best_accuracy	wall_time_s	status	log_file
mnist	10	1.0	0.9961	128	0.01	0.9298	0.9298	194.01	OK	mnist_e10_eps1.log
mnist	10	4.0	3.9901	128	0.01	0.9337	0.9337	200.24	OK	mnist_e10_eps4.log
mnist	10	8.0	7.9903	128	0.01	0.9321	0.9321	199.01	OK	mnist_e10_eps8.log
mnist	50	1.0	0.9991	128	0.01	0.9495	0.9495	938.99	OK	mnist_e50_eps1.log
mnist	50	4.0	3.9925	128	0.01	0.9616	0.9616	958.38	OK	mnist_e50_eps4.log
mnist	50	8.0	7.9916	128	0.01	0.9656	0.9656	999.43	OK	mnist_e50_eps8.log
mnist	100	1.0	0.9958	128	0.01	0.9280	0.9294	1887.13	OK	mnist_e100_eps1.log
mnist	100	4.0	3.9961	128	0.01	0.9656	0.9675	1913.47	OK	mnist_e100_eps4.log
mnist	100	8.0	7.9929	128	0.01	0.9699	0.9708	1957.85	OK	mnist_e100_eps8.log
svhn	10	1.0	0.9927	128	0.01	0.6814	0.6814	336.78	OK	svhn_e10_eps1.log
svhn	10	4.0	3.9981	128	0.01	0.6913	0.6913	286.47	OK	svhn_e10_eps4.log
svhn	10	8.0	7.9950	128	0.01	0.7075	0.7075	290.79	OK	svhn_e10_eps8.log
svhn	50	1.0	0.9909	128	0.01	0.7104	0.7171	1410.33	OK	svhn_e50_eps1.log
svhn	50	4.0	3.9970	128	0.01	0.8020	0.8032	1426.28	OK	svhn_e50_eps4.log
svhn	50	8.0	7.9949	128	0.01	0.8226	0.8226	1476.20	OK	svhn_e50_eps8.log
svhn	100	1.0	0.9964	128	0.01	0.4709	0.6084	3333.39	OK	svhn_e100_eps1.log
svhn	100	4.0	3.9978	128	0.01	0.8098	0.8163	2939.59	OK	svhn_e100_eps4.log
svhn	100	8.0	7.9988	128	0.01	0.8336	0.8336	2938.31	OK	svhn_e100_eps8.log
cifar10	10	1.0	0.9970	128	0.01	0.4814	0.4814	193.21	OK	cifar10_e10_eps1.log
cifar10	10	4.0	4.0013	128	0.01	0.5201	0.5201	189.01	OK	cifar10_e10_eps4.log
cifar10	10	8.0	8.0080	128	0.01	0.5497	0.5497	192.07	OK	cifar10_e10_eps8.log
cifar10	50	1.0	0.9996	128	0.01	0.4406	0.4489	908.33	OK	cifar10_e50_eps1.log
cifar10	50	4.0	3.9971	128	0.01	0.5852	0.5853	917.89	OK	cifar10_e50_eps4.log
cifar10	50	8.0	8.0073	128	0.01	0.6119	0.6125	948.32	OK	cifar10_e50_eps8.log
cifar10	100	1.0	0.9918	128	0.01	0.3882	0.4002	1806.59	OK	cifar10_e100_eps1.log
cifar10	100	4.0	3.9988	128	0.01	0.5901	0.5922	1844.90	OK	cifar10_e100_eps4.log
cifar10	100	8.0	8.0061	128	0.01	0.6215	0.6261	1894.06	OK	cifar10_e100_eps8.log
